listing_id,host_id,score_type,score
1042022,5736221,Communication,4.97
1042022,5736221,Location,4.95
1042022,5736221,Value,4.79
1043194,3294357,Accuracy,4.88
1043194,3294357,Cleanliness,4.83
1043194,3294357,Checkin,4.88
1043194,3294357,Communication,4.91
1043194,3294357,Location,4.92
1043194,3294357,Value,4.68
1048798,5774906,Accuracy,4.97
1048798,5774906,Cleanliness,4.94
1048798,5774906,Checkin,4.98
1048798,5774906,Communication,4.98
1048798,5774906,Location,4.95
1048798,5774906,Value,4.86
1071203,2754788,Accuracy,4.93
1071203,2754788,Cleanliness,4.93
1071203,2754788,Checkin,4.97
1071203,2754788,Communication,4.9
1071203,2754788,Location,4.93
1071203,2754788,Value,4.9
1090449,2739131,Accuracy,4.76
1090449,2739131,Cleanliness,4.63
1090449,2739131,Checkin,4.97
1090449,2739131,Communication,4.96
1090449,2739131,Location,4.91
1090449,2739131,Value,4.76
1097520,6031552,Accuracy,4.88
1097520,6031552,Cleanliness,4.91
1097520,6031552,Checkin,4.9
1097520,6031552,Communication,4.91
1097520,6031552,Location,4.79
1097520,6031552,Value,4.85
1100686,3921530,Accuracy,4.89
1100686,3921530,Cleanliness,4.77
1100686,3921530,Checkin,4.83
1100686,3921530,Communication,4.89
1100686,3921530,Location,4.86
1100686,3921530,Value,4.83
1112092,5856339,Accuracy,4.94
1112092,5856339,Cleanliness,4.84
1112092,5856339,Checkin,4.82
1112092,5856339,Communication,4.9
1112092,5856339,Location,4.92
1112092,5856339,Value,4.76
1114695,165390,Accuracy,4.86
1114695,165390,Cleanliness,4.9
1114695,165390,Checkin,4.92
1114695,165390,Communication,4.95
1114695,165390,Location,4.88
1114695,165390,Value,4.74
1121599,6153856,Accuracy,4.9
1121599,6153856,Cleanliness,4.76
1121599,6153856,Checkin,4.92
1121599,6153856,Communication,4.94
1121599,6153856,Location,4.88
1121599,6153856,Value,4.69
1122236,1121532,Accuracy,4.73
1122236,1121532,Cleanliness,4.83
1122236,1121532,Checkin,4.81
1122236,1121532,Communication,4.83
1122236,1121532,Location,4.88
1122236,1121532,Value,4.53
1146966,3921530,Accuracy,4.83
1146966,3921530,Cleanliness,4.72
1146966,3921530,Checkin,4.88
1146966,3921530,Communication,4.88
1146966,3921530,Location,4.86
1146966,3921530,Value,4.87
1150519,6305984,Accuracy,5
1150519,6305984,Cleanliness,4.89
1150519,6305984,Checkin,5
1150519,6305984,Communication,4.94
1150519,6305984,Location,4.94
1150519,6305984,Value,4.82
1157083,3294357,Accuracy,4.85
1157083,3294357,Cleanliness,4.61
1157083,3294357,Checkin,4.76
1157083,3294357,Communication,4.88
1157083,3294357,Location,4.94
1157083,3294357,Value,4.58
1159111,1787819,Accuracy,4.87
1159111,1787819,Cleanliness,4.84
1159111,1787819,Checkin,4.95
1159111,1787819,Communication,4.9
1159111,1787819,Location,4.77
1159111,1787819,Value,4.75
1171574,4485958,Accuracy,4.95
1171574,4485958,Cleanliness,4.87
1171574,4485958,Checkin,4.99
1171574,4485958,Communication,4.98
1171574,4485958,Location,4.83
1171574,4485958,Value,4.9
1175308,6432543,Accuracy,4.59
1175308,6432543,Cleanliness,4.59
1175308,6432543,Checkin,5
1175308,6432543,Communication,5
1175308,6432543,Location,4.88
1175308,6432543,Value,4.76
1190224,6506114,Accuracy,4.83
1190224,6506114,Cleanliness,4.48
1190224,6506114,Checkin,4.82
1190224,6506114,Communication,4.97
1190224,6506114,Location,4.72
1190224,6506114,Value,4.69
1190571,6506114,Accuracy,4.77
1190571,6506114,Cleanliness,4.38
1190571,6506114,Checkin,4.85
1190571,6506114,Communication,4.92
1190571,6506114,Location,4.73
1190571,6506114,Value,4.62
1219691,6654033,Accuracy,4.98
1219691,6654033,Cleanliness,4.97
1219691,6654033,Checkin,4.9
1219691,6654033,Communication,4.85
1219691,6654033,Location,4.8
1219691,6654033,Value,4.95
1256892,6846442,Accuracy,4.9
1256892,6846442,Cleanliness,4.97
1256892,6846442,Checkin,4.98
1256892,6846442,Communication,4.96
1256892,6846442,Location,4.88
1256892,6846442,Value,4.86
1260259,3009864,Accuracy,4.94
1260259,3009864,Cleanliness,4.94
1260259,3009864,Checkin,4.96
1260259,3009864,Communication,4.97
1260259,3009864,Location,4.9
1260259,3009864,Value,4.84
1265651,3074414,Accuracy,4.46
1265651,3074414,Cleanliness,4.46
1265651,3074414,Checkin,4.29
1265651,3074414,Communication,4.29
1265651,3074414,Location,4.5
1265651,3074414,Value,3.83
1273432,6931145,Accuracy,4.94
1273432,6931145,Cleanliness,4.94
1273432,6931145,Checkin,4.94
1273432,6931145,Communication,4.94
1273432,6931145,Location,4.63
1273432,6931145,Value,4.75
1301535,468703,Accuracy,4.88
1301535,468703,Cleanliness,4.93
1301535,468703,Checkin,4.93
1301535,468703,Communication,4.96
1301535,468703,Location,4.85
1301535,468703,Value,4.77
1351716,6592975,Accuracy,4.9
1351716,6592975,Cleanliness,4.87
1351716,6592975,Checkin,4.94
1351716,6592975,Communication,4.94
1351716,6592975,Location,4.68
1351716,6592975,Value,4.73
1355094,5112492,Accuracy,4.75
1355094,5112492,Cleanliness,4.58
1355094,5112492,Checkin,4.94
1355094,5112492,Communication,4.88
1355094,5112492,Location,4.92
1355094,5112492,Value,4.68
1356339,1121532,Accuracy,4.83
1356339,1121532,Cleanliness,4.77
1356339,1121532,Checkin,4.82
1356339,1121532,Communication,4.88
1356339,1121532,Location,4.88
1356339,1121532,Value,4.66
1365882,3074414,Accuracy,4.28
1365882,3074414,Cleanliness,4.41
1365882,3074414,Checkin,4.41
1365882,3074414,Communication,4.68
1365882,3074414,Location,4.44
1365882,3074414,Value,4.06
1407502,6136210,Accuracy,4.46
1407502,6136210,Cleanliness,4.62
1407502,6136210,Checkin,4.81
1407502,6136210,Communication,4.81
1407502,6136210,Location,4.73
1407502,6136210,Value,4.73
1417880,3074414,Accuracy,4.28
1417880,3074414,Cleanliness,4.41
1417880,3074414,Checkin,4.59
1417880,3074414,Communication,4.62
1417880,3074414,Location,4.52
1417880,3074414,Value,4.14
1439237,7730805,Accuracy,4.91
1439237,7730805,Cleanliness,4.99
1439237,7730805,Checkin,4.97
1439237,7730805,Communication,5
1439237,7730805,Location,4.95
1439237,7730805,Value,4.79
1484595,3074414,Accuracy,4.39
1484595,3074414,Cleanliness,4.18
1484595,3074414,Checkin,4.61
1484595,3074414,Communication,4.52
1484595,3074414,Location,4.64
1484595,3074414,Value,4.12
1488166,1212520,Accuracy,4.95
1488166,1212520,Cleanliness,4.94
1488166,1212520,Checkin,4.95
1488166,1212520,Communication,4.95
1488166,1212520,Location,4.95
1488166,1212520,Value,4.71
1494828,316200,Accuracy,4.95
1494828,316200,Cleanliness,4.97
1494828,316200,Checkin,4.97
1494828,316200,Communication,4.94
1494828,316200,Location,4.75
1494828,316200,Value,4.83
1494986,316200,Accuracy,4.94
1494986,316200,Cleanliness,4.96
1494986,316200,Checkin,4.98
1494986,316200,Communication,4.99
1494986,316200,Location,4.82
1494986,316200,Value,4.88
1531351,3074414,Accuracy,4.48
1531351,3074414,Cleanliness,4.13
1531351,3074414,Checkin,4.42
1531351,3074414,Communication,4.42
1531351,3074414,Location,4.39
1531351,3074414,Value,4.1
1531458,3074414,Accuracy,4.56
1531458,3074414,Cleanliness,4.47
1531458,3074414,Checkin,4.73
1531458,3074414,Communication,4.84
1531458,3074414,Location,4.73
1531458,3074414,Value,4.34
1556170,8284327,Accuracy,4.83
1556170,8284327,Cleanliness,4.91
1556170,8284327,Checkin,4.94
1556170,8284327,Communication,4.9
1556170,8284327,Location,4.56
1556170,8284327,Value,4.69
1562643,8315334,Accuracy,4.81
1562643,8315334,Cleanliness,4.59
1562643,8315334,Checkin,4.84
1562643,8315334,Communication,4.8
1562643,8315334,Location,4.9
1562643,8315334,Value,4.75
1579615,4384828,Accuracy,4.95
1579615,4384828,Cleanliness,4.98
1579615,4384828,Checkin,4.97
1579615,4384828,Communication,4.92
1579615,4384828,Location,4.93
1579615,4384828,Value,4.85
1588658,3593244,Accuracy,4.96
1588658,3593244,Cleanliness,4.98
1588658,3593244,Checkin,5
1588658,3593244,Communication,5
1588658,3593244,Location,4.91
1588658,3593244,Value,4.93
1588941,5692720,Accuracy,4.99
1588941,5692720,Cleanliness,4.99
1588941,5692720,Checkin,5
1588941,5692720,Communication,4.97
1588941,5692720,Location,4.9
1588941,5692720,Value,4.91
1589681,681242,Accuracy,4.84
1589681,681242,Cleanliness,4.58
1589681,681242,Checkin,4.92
1589681,681242,Communication,4.89
1589681,681242,Location,4.87
1589681,681242,Value,4.77
1593991,8501598,Accuracy,4.81
1593991,8501598,Cleanliness,4.79
1593991,8501598,Checkin,5
1593991,8501598,Communication,5
1593991,8501598,Location,4.93
1593991,8501598,Value,4.74
1594219,197690,Accuracy,4.77
1594219,197690,Cleanliness,4.64
1594219,197690,Checkin,4.83
1594219,197690,Communication,4.88
1594219,197690,Location,4.44
1594219,197690,Value,4.72
1594313,197690,Accuracy,4.87
1594313,197690,Cleanliness,4.7
1594313,197690,Checkin,4.91
1594313,197690,Communication,4.9
1594313,197690,Location,4.62
1594313,197690,Value,4.71
1599010,3074414,Accuracy,4.56
1599010,3074414,Cleanliness,4.39
1599010,3074414,Checkin,4.5
1599010,3074414,Communication,4.83
1599010,3074414,Location,4.78
1599010,3074414,Value,4.5
1603124,3074414,Accuracy,4.2
1603124,3074414,Cleanliness,4.27
1603124,3074414,Checkin,4.27
1603124,3074414,Communication,4.2
1603124,3074414,Location,4.4
1603124,3074414,Value,4.07
1628210,8654046,Accuracy,4.95
1628210,8654046,Cleanliness,4.81
1628210,8654046,Checkin,5
1628210,8654046,Communication,4.95
1628210,8654046,Location,5
1628210,8654046,Value,4.76
1629525,8660724,Accuracy,5
1629525,8660724,Cleanliness,5
1629525,8660724,Checkin,5
1629525,8660724,Communication,5
1629525,8660724,Location,5
1629525,8660724,Value,5
1684236,8905591,Accuracy,4.92
1684236,8905591,Cleanliness,4.78
